strain,date.transformed,host.cell,antibiotics,vector,accession,source.plate.tube,source.kit,creator,other.notes,glycerol.stock.location,burden.assays,miniprep.DNA.concentration.ng.uL.,GFP.inteference,fluorescent.protein,part.type,number.of.subparts,short.part.description,measured,sequenced,sequencing.result
BB391,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,R0078,"Plate 4, 15H",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp024,NA,FALSE,,Coding,1," ""Promoter (cinR and HSL regulated)""",TRUE,1,not.sequenced
BB392,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,I13601,"Plate 4, 15J",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp024/exp052,1.32,FALSE,CFP,Protein_Domain,1," ""Lac operator with CFP reporter (without LVA tag) [R/Lc-]""",TRUE,0.55,biobrick.major.discrepancy
BB393,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,R0082,"Plate 4, 15L",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp024,NA,FALSE,,Coding,1," ""Promoter (OmpR  positive)""",TRUE,0,not.sequenced
BB394,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,R0083,"Plate 4, 15N",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp024,NA,FALSE,,Protein_Domain,1," ""Promoter (OmpR  positive)""",TRUE,0,not.sequenced
BB395,6.19.19,E. coli DH10B + burden monitor,"kan, amp",J23006,J23070,"Plate 4, 15P",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp024/exp054/exp052/exp051/exp050,1.03,FALSE,,Generator,2," ""Ser2 derived key""",TRUE,0.429166667,NA
BB396,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K541503,"Plate 1, 11I",spring 2018 iGEM distribution,Alex MacAskill,,Green Box,exp024/exp052,5.39,FALSE,,Translational_Unit,1," ""Constitutive Strong promoter  Strong RBS and TAT signal peptide""",TRUE,2.245833333,biobrick.confirmed
BB397,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K738002,"Plate 1,11J",spring 2018 iGEM distribution,Alex MacAskill,,Green Box,exp024/exp052,10.6,FALSE,,Coding,1," ""Theophyline riboswitch regulated RNA Scaffold (clover vision 2)""",TRUE,4.416666667,biobrick.confirmed
BB398,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K541505,"Plate 1, 11K",spring 2018 iGEM distribution,Alex MacAskill,,Green Box,exp024,19.2,FALSE,,Translational_Unit,1," ""limulus anti-LPS factor (LALF)""",TRUE,8,biobrick.confirmed
BB399,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K863206,"Plate 1, 11L",spring 2018 iGEM distribution,Alex MacAskill,,Green Box,exp024/exp052,8.95,FALSE,,Translational_Unit,1," ""Mating factor alpha 1 with Kozak sequence""",TRUE,3.729166667,biobrick.confirmed
BB400,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K541506,"Plate 1, 11M",spring 2018 iGEM distribution,Alex MacAskill,,,exp024/exp052,9.18,FALSE,,Coding,1," ""Reflectin1A from Cephalopod""",TRUE,3.825,biobrick.confirmed
BB401,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K875009,"Plate 1, 11N",spring 2018 iGEM distribution,Alex MacAskill,,,exp024/exp052,6.53,FALSE,,Regulatory,1," ""LL 37 - Cathelicidin""",TRUE,2.720833333,biobrick.minor.discrepancy
BB402,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K541526,"Plate 1, 11O",spring 2018 iGEM distribution,Alex MacAskill,,,exp024/exp052,7.84,FALSE,,Protein_Domain,1," ""reflectin for b.subtilis with LipA signal peptide""",TRUE,3.266666667,biobrick.confirmed
BB403,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K895000,"Plate 1, 11P",spring 2018 iGEM distribution,Alex MacAskill,,,exp024/exp052,7.01,FALSE,,Coding,1," ""Eco_Ptat2""",TRUE,2.920833333,biobrick.confirmed
BB404,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K592020,"Plate 1, 12B",spring 2018 iGEM distribution,Alex MacAskill,,,exp024/exp052,5.17,TRUE,BCP,Composite,2," ""PFixK2-lambda C1-B0034-amilCP blue light sensor output""",TRUE,2.154166667,biobrick.minor.discrepancy
BB405,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K581008,"Plate 1, 12C",spring 2018 iGEM distribution,Alex MacAskill,,,exp024/exp052,6.74,FALSE,,Coding,1," ""RBS+ccdB+Termintor """,TRUE,2.808333333,biobrick.confirmed
BB406,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K784013,"plate 2, 3N",spring 2018 iGEM distribution,jordan clements,,,exp017,NA,FALSE,RFP,Composite,2," ""pLux+Theophylline riboswitch+mCherry""",TRUE,0,not.sequenced
BB407,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K775000,"plate 2, 3O",spring 2018 iGEM distribution,jordan clements,,,exp017,NA,FALSE,,Coding,1," "" RI7-GPR109A Niacin chimeric GPCR""",TRUE,0,not.sequenced
BB408,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K784014,"plate 2, 3P",spring 2018 iGEM distribution,jordan clements,,,exp017,NA,FALSE,RFP,Coding,1," ""pLux+Spacer2+RBS+mCherry""",TRUE,0,not.sequenced
BB409,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K747008,"plate 2, 4A",spring 2018 iGEM distribution,jordan clements,,,exp017,NA,FALSE,,Composite,4," ""TAL-Protein_GA1_Direpeat""",TRUE,0,not.sequenced
BB410,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,C0051,"plate 2, 4B",spring 2018 iGEM distribution,jordan clements,,,exp017,NA,FALSE,,Composite,2," ""cI repressor from E. coli phage lambda (+LVA) """,TRUE,0,not.sequenced
BB411,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K747009,"plate 2, 4C",spring 2018 iGEM distribution,jordan clements,,,exp017,NA,FALSE,,Composite,2," ""TAL-Protein_GC1_Direpeat""",TRUE,0,not.sequenced
BB412,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,C0052,"plate 2, 4D",spring 2018 iGEM distribution,Michelle Chang,,,exp017,NA,FALSE,,Reporter,4," ""cI repressor from phage  434 (+LVA)""",TRUE,0,not.sequenced
BB413,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K747010,"plate 2, 4E",spring 2018 iGEM distribution,Michelle Chang,,,exp017,NA,FALSE,,Composite,5," ""TAL-Protein_GG1_Direpeat""",TRUE,0,not.sequenced
BB414,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,C0053,"plate 2, 4F",spring 2018 iGEM distribution,Michelle Chang,,,exp017,NA,FALSE,,Coding,1," ""c2  repressor from Salmonella phage P22  (+LVA)""",TRUE,0,not.sequenced
BB415,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K747011,"plate 2, 4G",spring 2018 iGEM distribution,Michelle Chang,,,exp017,NA,FALSE,,Composite,5," ""TAL-Protein_GT1_Direpeat""",TRUE,0,not.sequenced
BB416,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,C0060,"plate 2, 4H",spring 2018 iGEM distribution,Michelle Chang,,,exp017,NA,FALSE,,Tag,1," ""autoinducer inactivation enzyme from Bacillus; hydrolyzes acetyl homoserine lactone""",TRUE,0,not.sequenced
BB417,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K747012,"plate 2, 4I",spring 2018 iGEM distribution,Michelle Chang,,,exp017,NA,FALSE,,Protein_Domain,1," ""TAL-Protein_TA1_Direpeat""",TRUE,0,not.sequenced
BB418,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K539421,"Plate 1, 12G",spring 2018 iGEM distribution,Angela Pak,,,exp024/exp052,NA,FALSE,,Protein_Domain,1," ""promoter (lacI regulated)+RNA thermometer """,TRUE,0,biobrick.confirmed
BB419,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K517002,"Plate 1, 12J",spring 2018 iGEM distribution,Angela Pak,,,exp052,5.18,FALSE,,Protein_Domain,1," ""alpha-pinene synthase""",FALSE,2.158333333,not.sequenced
BB420,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K539119,"Plate 1, 12K",spring 2018 iGEM distribution,Angela Pak,,,exp052,3.68,FALSE,,Protein_Domain,1," ""crtY (lycopene cyclase)""",FALSE,1.533333333,biobrick.confirmed
BB421,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K517003,"Plate 1, 12L",spring 2018 iGEM distribution,Angela Pak,,,exp052,3.47,FALSE,,Translational_Unit,4," ""beta-pinene synthase """,FALSE,1.445833333,biobrick.minor.discrepancy
BB422,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K517005,"Plate 1, 12N",spring 2018 iGEM distribution,Angela Pak,,,exp052,3.44,FALSE,,Translational_Unit,4," ""erg20-2""",FALSE,1.433333333,biobrick.minor.discrepancy
BB423,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K519010,"Plate 1, 12O",spring 2018 iGEM distribution,Angela Pak,,,exp052,NA,FALSE,,Generator,2," ""SmtA""",FALSE,0,biobrick.confirmed
BB424,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K861173,"Plate 1, 13H",spring 2018 iGEM distribution,Angela Pak,,,exp052,2.94,FALSE,RFP,Regulatory,1," ""mRFP generator controlled by  PcstA (glucose-repressible promoter)""",FALSE,1.225,not.sequenced
BB425,6.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K540001,"Plate 1, 13I",spring 2018 iGEM distribution,Angela Pak,,,exp052,3.51,FALSE,,Intermediate,3," ""rcn  cobalt-sensitive promoter""",FALSE,1.4625,biobrick.confirmed
BB426,7.16.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,E0020,"Plate 2, 4N",spring 2018 iGEM distribution,Michelle Chang,,,exp022/exp028,NA,FALSE,CFP,Regulatory,1," ""engineered cyan fluorescent protein derived from A. victoria GFP """,TRUE,0,not.sequenced
BB427,6.26.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K747015,"Plate 2, 4O",spring 2018 iGEM distribution,Michelle Chang,,,,NA,FALSE,,Reporter,10," ""TAL-Protein_TT1_Direpeat""",FALSE,0,NA
BB428,6.26.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K775001,"Plate 2, 5A",spring 2018 iGEM distribution,Michelle Chang,,,,NA,FALSE,,Coding,1," ""RI7-Olfr154 Isoamylacetate chimeric GPCR""",FALSE,0,NA
BB429,6.26.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K876010,"Plate 2, 5B",spring 2018 iGEM distribution,Michelle Chang,,,,NA,FALSE,,Device,10," ""pLux-TetR""",FALSE,0,NA
BB430,6.26.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K775002,"Plate 2, 5C",spring 2018 iGEM distribution,Michelle Chang,,,,NA,FALSE,,Reporter,1," ""RI7-OR1G1 Isoamylacetate chimeric GPCR""",FALSE,0,NA
BB431,6.26.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K876014,"Plate 2, 5D",spring 2018 iGEM distribution,Raul Lopez,,,,2.5,FALSE,,Reporter,1," ""pLac-LuxI""",FALSE,1.041666667,NA
BB432,6.26.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K775003,"Plate 2, 5E",spring 2018 iGEM distribution,Raul Lopez,,,,4.28,FALSE,,Device,1," ""RI7-odr10 (diacetyl) chimeric GPCR with promoter and terminator""",FALSE,1.783333333,NA
BB433,6.26.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K847060,"Plate 2, 5G",spring 2018 iGEM distribution,Raul Lopez,,,exp053,2.78,FALSE,,Composite,6," ""''Escherichia coli'' osmoregulatory trehalose synthesis A (otsA)""",FALSE,1.158333333,NA
BB434,6.26.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K876057,"Plate 2, 5H",spring 2018 iGEM distribution,Raul Lopez,,,,4.71,FALSE,,RBS,1," ""pTetR-lasR-Term-Term""",FALSE,1.9625,NA
BB435,6.26.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K731020,"Plate 2, 5I",spring 2018 iGEM distribution,Raul Lopez,,,,2.18,FALSE,,RNA,1," ""Inducible araC-pBAD promoter regulating WT CysE""",FALSE,0.908333333,NA
BB436,6.26.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K876069,"Plate 2, 5J",spring 2018 iGEM distribution,Raul Lopez,,,,4.7,FALSE,,DNA,1," ""Term-Term-pLuxR-TetR""",FALSE,1.958333333,NA
BB437,6.26.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K731030,"Plate 2, 5K",spring 2018 iGEM distribution,Alex MacAskill,,,,NA,FALSE,,Generator,4," ""Inducible araC-pBAD promoter regulating M256I CysE""",FALSE,0,NA
BB438,6.26.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K876070,"Plate 2, 5L",spring 2018 iGEM distribution,Alex MacAskill,,,,NA,TRUE,GFP,Reporter,1," ""CP-GFP-Term""",FALSE,0,NA
BB439,6.26.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K731250,"Plate 2, 5M",spring 2018 iGEM distribution,Alex MacAskill,,,,NA,TRUE,GFP,Regulatory,1," ""Inducible araC-pBAD promoter with GFPmut3b  strong RBS""",FALSE,0,NA
BB440,6.26.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K817000,"Plate 2, 5N",spring 2018 iGEM distribution,Alex MacAskill,,,,NA,FALSE,,Coding,1," ""SP1-GLP1""",FALSE,0,NA
BB441,6.26.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K731255,"Plate 2, 5O",spring 2018 iGEM distribution,Alex MacAskill,,,,NA,TRUE,GFP,Coding,1," ""Inducible araC-pBAD promoter with GFPmut3b  weak RBS""",FALSE,0,NA
BB442,6.26.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K844000,"Plate 5, 5P",spring 2018 iGEM distribution,Alex MacAskill,,,,NA,FALSE,,Regulatory,1," ""10x-Histidine (10x-His) Tag with double stop codon (TAATAA)""",FALSE,0,NA
BB443,6.26.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K747016,"Plate 2, 6A",spring 2018 iGEM distribution,Alex MacAskill,,,,NA,FALSE,,Other,1," ""TAL-Protein_AA2_Direpeat""",FALSE,0,NA
BB444,6.26.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,E0032,"Plate 2, 6B",spring 2018 iGEM distribution,Alex MacAskill,,,,NA,TRUE,YFP,Device,1," ""enhanced yellow fluorescent protein derived from A. victoria GFP""",FALSE,0,NA
BB445,6.26.28,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K747017,"Plate 2, 6C",spring 2018 iGEM distribution,Alex MacAskill,,,,NA,FALSE,,Coding,1," ""TAL-Protein_AC2_Direpeat""",FALSE,0,NA
BB446,7.16.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,R0011,"Plate 2, 6D",spring 2018 iGEM distribution,Alex MacAskill,,,exp022,NA,FALSE,,Measurement,3," ""Promoter (lacI regulated  lambda pL hybrid)""",TRUE,0,not.sequenced
BB447,,,,,,,,,,,,NA,FALSE,,Coding,1,,FALSE,0,NA
BB448,,,,,,,,,,,,NA,FALSE,,Device,1,,FALSE,0,NA
BB449,,,,,,,,,,,,NA,FALSE,,Device,1,,FALSE,0,NA
BB450,,,,,,,,,,,,NA,FALSE,,Device,1,,FALSE,0,NA
BB451,,,,,,,,,,,,NA,FALSE,,Composite,6,,FALSE,0,NA
BB452,,,,,,,,,,,,NA,FALSE,,Reporter,2,,FALSE,0,NA
BB453,,,,,,,,,,,,NA,FALSE,,Signalling,4,,FALSE,0,NA
BB454,,,,,,,,,,,,NA,FALSE,,Composite,6,,FALSE,0,NA
BB455,,,,,,,,,,,,NA,FALSE,,Measurement,3,,FALSE,0,NA
BB456,,,,,,,,,,,,NA,FALSE,,Coding,1,,FALSE,0,NA
BB457,,,,,,,,,,,,NA,FALSE,,Terminator,1,,FALSE,0,NA
BB458,,,,,,,,,,,,NA,FALSE,,Measurement,3,,FALSE,0,NA
BB459,,,,,,,,,,,,NA,FALSE,,Regulatory,1,,FALSE,0,NA
BB460,,,,,,,,,,,,NA,FALSE,,Reporter,2,,FALSE,0,NA
BB461,,,,,,,,,,,,NA,FALSE,,Coding,1,,FALSE,0,NA
BB462,,,,,,,,,,,,NA,FALSE,,Coding,1,,FALSE,0,NA
BB463,,,,,,,,,,,,NA,FALSE,,Intermediate,2,,FALSE,0,NA
BB464,,,,,,,,,,,,NA,FALSE,,Coding,1,,FALSE,0,NA
BB465,,,,,,,,,,,,NA,FALSE,,Intermediate,6,,FALSE,0,NA
BB466,,,,,,,,,,,,NA,FALSE,,Composite,6,,FALSE,0,NA
BB467,,,,,,,,,,,,NA,FALSE,,Reporter,4,,FALSE,0,NA
BB468,,,,,,,,,,,,NA,FALSE,,Regulatory,1,,FALSE,0,NA
BB469,,,,,,,,,,,,NA,FALSE,,Coding,1,,FALSE,0,NA
BB470,,,,,,,,,,,,NA,FALSE,,Coding,1,,FALSE,0,NA
BB471,,,,,,,,,,,,NA,FALSE,,Composite,4,,FALSE,0,NA
BB472,,,,,,,,,,,,NA,FALSE,,Coding,1,,FALSE,0,NA
BB473,,,,,,,,,,,,NA,FALSE,,Composite,8,,FALSE,0,NA
BB474,,,,,,,,,,,,NA,FALSE,,Coding,1,,FALSE,0,NA
BB475,,,,,,,,,,,,NA,FALSE,,Coding,1,,FALSE,0,NA
BB476,,,,,,,,,,,,NA,FALSE,,Other,1,,FALSE,0,NA
BB477,,,,,,,,,,,,NA,FALSE,,Coding,1,,FALSE,0,NA
BB478,,,,,,,,,,,,NA,FALSE,,Other,1,,FALSE,0,NA
BB479,,,,,,,,,,,,NA,FALSE,,Composite,7,,FALSE,0,NA
BB480,,,,,,,,,,,,NA,FALSE,,Other,1,,FALSE,0,NA
BB481,,,,,,,,,,,,NA,FALSE,,Coding,1,,FALSE,0,NA
BB482,,,,,,,,,,,,NA,FALSE,,Other,1,,FALSE,0,NA
BB483,,,,,,,,,,,,NA,FALSE,,Coding,1,,FALSE,0,NA
BB484,,,,,,,,,,,,NA,FALSE,,Regulatory,1,,FALSE,0,NA
BB485,,,,,,,,,,,,NA,FALSE,,Signalling,10,,FALSE,0,NA
BB486,,,,,,,,,,,,NA,FALSE,,Composite,10,,FALSE,0,NA
BB487,,,,,,,,,,,,NA,FALSE,,Composite,1,,FALSE,0,NA
BB488,,,,,,,,,,,,NA,FALSE,,Intermediate,2,,FALSE,0,NA
BB489,,,,,,,,,,,,NA,FALSE,,Reporter,10,,FALSE,0,NA
BB490,,,,,,,,,,,,NA,FALSE,,Device,3,,FALSE,0,NA
BB491,,,,,,,,,,,,NA,FALSE,,Coding,1,,FALSE,0,NA
BB492,,,,,,,,,,,,NA,FALSE,,Coding,1,,FALSE,0,NA
BB493,,,,,,,,,,,,NA,FALSE,,Generator,5,,FALSE,0,NA
BB494,,,,,,,,,,,,NA,FALSE,,Protein_Domain,1,,FALSE,0,NA
BB495,,,,,,,,,,,,NA,FALSE,,Protein_Domain,1,,FALSE,0,NA
BB496,,,,,,,,,,,,NA,FALSE,,Protein_Domain,1,,FALSE,0,NA
BB497,,,,,,,,,,,,NA,FALSE,,Protein_Domain,1,,FALSE,0,NA
BB498,,,,,,,,,,,,NA,FALSE,,Protein_Domain,1,,FALSE,0,NA
BB499,,,,,,,,,,,,NA,FALSE,,Protein_Domain,1,,FALSE,0,NA
BB500,,,,,,,,,,,,NA,FALSE,,Reporter,4,,FALSE,0,NA
BB501,,,,,,,,,,,,NA,FALSE,,Composite,5,,FALSE,0,NA
BB502,,,,,,,,,,,,NA,FALSE,,Coding,1,,FALSE,0,NA
BB503,,,,,,,,,,,,NA,FALSE,,Composite,1,,FALSE,0,NA
BB504,,,,,,,,,,,,NA,FALSE,,Coding,1,,FALSE,0,NA
BB505,,,,,,,,,,,,NA,FALSE,,Regulatory,1,,FALSE,0,NA
BB506,,,,,,,,,,,,NA,FALSE,,Coding,1,,FALSE,0,NA
BB507,07.17.19,,"kan,cam",pSB1C3,K808002,"plate 2, 7g",spring 2018 iGEM distribution,Michelle Chang,,,,5.98,FALSE,,Protein_Domain,1," ""tctA_503: large subunit A1 of the tripartite tricarboxylate transporter family """,FALSE,2.491666667,NA
BB508,,,,,,,,,,,,NA,FALSE,,,NA,,FALSE,,NA
BB509,07.17.19,,"kan,cam",pSB1C3,K808004,"plate 2, 7i",spring 2018 iGEM distribution,Michelle Chang,,,,6.3,FALSE,,Protein_Domain,1," ""tctA_505: large subunit A2 of the tripartite tricarboxylate transporter family""",FALSE,2.625,NA
BB510,,,,,,,,,,,,NA,FALSE,,,NA,,FALSE,,NA
BB511,07.17.19,,"kan, cam",pSB1C3,K808007,"plate 2, 7k",spring 2018 iGEM distribution,Michelle Chang,,,,12.8,FALSE,,Protein_Domain,1," ""putative terephtalate uptake operon2""",FALSE,5.333333333,NA
BB512,07.17.19,,"kan, cam",pSB1C3,K779503,"plate 2, 7l",spring 2018 iGEM distribution,Michelle Chang,,,,9.93,FALSE,,Generator,4," ""Long input strand MammoBlock""",FALSE,4.1375,NA
BB513,07.17.19,,"kan, cam",pSB1C3,K808012,"plate 2, 7m",spring 2018 iGEM distribution,Michelle Chang,,,,10.1,FALSE,,Coding,NA," ""tphA2: Catalyzes together with tphA3 TPA to DCD""",FALSE,4.208333333,NA
BB514,07.17.19,,"kan, cam",pSB1C3,K779504,"plate 2, 7n",spring 2018 iGEM distribution,Michelle Chang,,,,2.31,FALSE,,Other ,NA," ""Long scrambled input strand MammoBlock""",FALSE,0.9625,NA
BB515,,,,,,,,,,,,NA,FALSE,,Regulatory,NA,,FALSE,,NA
BB516,07.17.19,,"kan, cam",pSB1C3,K743002,"plate 2, 7p",spring 2018 iGEM distribution,Michelle Chang,,,,17.2,FALSE,,Signalling,NA," ""PCaa3 promoter and native rbs from Synechocystis PCC6803""",FALSE,7.166666667,NA
BB517,07.03.19,,"kan,cam",pSB1C3,K546000,"plate 1, 12D",spring 2018 iGEM distribution,Angela Pak,,,,NA,FALSE,,Signalling,NA," ""Lux pL controlled LuxR with lux pR autoinducing LuxI(lva tag)- AHL.""",FALSE,0,NA
BB518,07.03.19,,"kan,cam",pSB1C3,K546001,"plate 1, 12F",spring 2018 iGEM distribution,Angela Pak,,,,NA,FALSE,,Composite ,NA," ""Lux pL controlled luxR with lux pR controlled AHL degrading enzyme AiiA(lva tag). """,FALSE,0,NA
BB519,07.03.19,,"kan,cam",pSB1C3,K641009,"plate 1, 12H",spring 2018 iGEM distribution,Angela Pak,,,,6.39,FALSE,,Composite ,NA," ""P_rffGH.rbs.ToxR-Nhe1.{gsgsgs}{LambdaRep}""",FALSE,2.6625,NA
BB520,07.03.19,,"kan,cam",pSB1C3,K539622,"plate 1, 12I",spring 2018 iGEM distribution,Angela Pak,,,,2.9,FALSE,,Intermediate,NA," ""a RBS (B0032)+ilvC""",FALSE,1.208333333,NA
BB521,07.03.19,,"kan,cam",pSB1C3,K577894,"plate 1, 12P",spring 2018 iGEM distribution,Angela Pak,,,,3.68,TRUE,YFP,Reporter ,NA," ""TetR repressed YFP""",TRUE,1.533333333,biobrick.confirmed
BB522,07.03.19,,"kan,cam",pSB1C3,K541596,"plate 1, 13A",spring 2018 iGEM distribution,Angela Pak,,,exp032,NA,FALSE,,Device ,NA," ""Reflectin  gene with J04500 promoter """,FALSE,0,NA
BB523,07.03.19,,"kan,cam",pSB1C3,K895004,"plate 1, 13B",spring 2018 iGEM distribution,Angela Pak,,,exp032,4.39,FALSE,,Coding,NA," ""Salty_Hcp-CD27_endolysin""",TRUE,1.829166667,biobrick.confirmed
BB524,07.03.19,,"kan,cam",pSB1C3,K861090,"plate 1, 13D",spring 2018 iGEM distribution,Angela Pak,,,exp032,NA,FALSE,,Coding,NA," ""YhjH Gene From <i>E.coli str. K12</i>""",TRUE,0,biobrick.confirmed
BB525,07.03.19,,"kan,cam",pSB1C3,K861172,"plate 1, 13F",spring 2018 iGEM distribution,Angela Pak,,,exp032,NA,FALSE,,Generator,NA," "" lambda cI generator controlled by PcstA (glucose-repressible promoter)""",TRUE,0,not.sequenced
BB526,07.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K747018,"plate 2, 6E",spring 2018 iGEM distribution,Diya Bhat,,,exp025/exp032/exp047,46.3,FALSE,,Protein_Domain,NA," ""TAL-Protein_AG2_Direpeat""",TRUE,19.29166667,biobrick.confirmed
BB527,07.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,R0040,"plate 2, 6F",spring 2018 iGEM distribution,Diya Bhat,,,exp025/exp032/exp047,48.3,FALSE,,Regulatory,NA," ""TetR repressible promoter""",TRUE,20.125,not.sequenced
BB528,07.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K747019,"plate 2, 6G",spring 2018 iGEM distribution,Diya Bhat,,,exp025/exp032/exp047,40.3,FALSE,,Protein_Domain,NA," ""TAL-Protein_AT2_Direpeat""",TRUE,16.79166667,biobrick.confirmed
BB529,07.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,R0062,"plate 2, 6H",spring 2018 iGEM distribution,Diya Bhat,,,exp025/exp032/exp047,28.7,FALSE,,Regulatory,NA," ""Promoter (luxR & HSL regulated -- lux pR)""",TRUE,11.95833333,not.sequenced
BB530,07.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K747020,"plate 2, 6I",spring 2018 iGEM distribution,Diya Bhat,,,exp025/exp032/exp047,50.4,FALSE,,Protein_Domain,NA," ""TAL-Protein_CA2_Direpeat""",TRUE,21,biobrick.confirmed
BB531,07.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,R0063,"plate 2, 6J",spring 2018 iGEM distribution,Diya Bhat,,,exp025/exp032/exp047,41.2,FALSE,,Regulatory,NA," ""Promoter (luxR & HSL regulated -- lux pL)<br>""",TRUE,17.16666667,not.sequenced
BB532,07.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K747021,"plate 2, 6K",spring 2018 iGEM distribution,Diya Bhat,,,exp025/exp032/exp047,28.1,FALSE,,Protein_Domain,NA," ""TAL-Protein_CC2_Direpeat""",TRUE,11.70833333,biobrick.confirmed
BB533,07.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,R0065,"plate 2, 6L",spring 2018 iGEM distribution,Diya Bhat,,,exp025/exp032/exp047,37.7,FALSE,,Regulatory,NA," ""Promoter (lambda cI and luxR regulated -- hybrid)""",TRUE,15.70833333,not.sequenced
BB534,07.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K747022,"plate 2, 6M",spring 2018 iGEM distribution,Diya Bhat,,,exp025/exp032/exp047,45.6,FALSE,,Protein_Domain,NA," ""TAL-Protein_CG2_Direpeat""",TRUE,19,biobrick.confirmed
BB535,07.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,R1062,"plate 2, 6N",spring 2018 iGEM distribution,Diya Bhat,,,exp025/exp032/exp047,42,FALSE,,Regulatory,NA," ""Promoter  Standard (luxR and HSL regulated -- lux pR)<br>""",TRUE,17.5,not.sequenced
